LINK;TITULO;FECHA;MEDIO;MODALIDAD DE ROBO;TIPO DE ARMA;EDAD VICTIMA;EDAD DELINCUENTE;GENERO VICTIMA;GENERO DELINCUENTE;DISTRITO;MUERTOS;HERIDOS;OCUPACIÓN
http://www.elpopular.pe/actualidad-y-policiales/2017-05-08-comas-roban-vivienda-cerca-comisaria;Comas: roban vivienda cerca a comisaría;8/05/2017;El Popular;Hurto;Otros;;;Hombre;Varios (No especifica);Comas;0;0;Empresario
http://peru21.pe/actualidad/callao-camaras-pusieron-al-descubierto-asaltantes-video-2280409;Callao: Cámaras pusieron al descubierto a asaltantes [VIDEO];5/05/2017;Perú21;Marcaje;Pistola;;;Hombre;Hombre (2);Callao;0;2;Empresario
http://larepublica.pe/sociedad/873494-villa-el-salvador-chifa-es-asaltado-por-cuarta-vez;Villa El Salvador: asaltan chifa por cuarta vez;8/05/2017;El Popular;Asalto;Pistola;;;Hombre;Varios (No especifica);Villa El Salvador;0;0;Dueño de local
http://ojo.pe/policial/cercado-de-lima-sicarios-asesinan-a-joven-de-siete-balazos-en-via-publica-fotos-y-video-241079/;Cercado de Lima: sicarios matan de 7 balazos a joven tras salir de fiesta patronal (FOTOS Y VIDEO);1/05/2017;Ojo;Sicariato;Pistola;22-34;;Hombre;;Cercado de Lima;1;0;
http://rpp.pe/lima/policiales-crimenes/delincuentes-asaltaron-un-puesto-de-salud-de-villa-el-salvador-noticia-1049399;Delincuentes asaltaron un puesto de salud de Villa El Salvador;9/05/2017;RPP;Hurto;No especifica;;;;;Villa El Salvador;0;0;
http://larepublica.pe/sociedad/875902-nicol-la-menor-que-sedujo-por-facebook-joven-para-luego-robarle-y-matarlo-junto-su-banda-video;Nicol, la menor que sedujo por Facebook a joven para luego robarle y matarlo junto a su banda [VIDEO];16/05/2017;La República;Asalto;Pistola;;;Hombre;Mujer / Hombre (2);Chorrillos;1;0;Empresario
http://www.elpopular.pe/actualidad-y-policiales/2017-05-09-san-juan-de-miraflores-caen-tres-sujetos-acusados-de-extorsionar-empresario;San Juan de Miraflores: caen tres sujetos acusados de extorsionar empresario;9/05/2017;El Popular;Extorsión;Sin Arma;;22-34 / 35-55;Hombre;Hombre (2) / Mujer;San Juan de Miraflores;0;0;Empresario
http://peru21.pe/actualidad/polvos-azules-se-realiza-megaoperativo-contra-venta-celulares-robados-2280823;Polvos Azules: Se realizó megaoperativo contra la venta de celulares robados;9/05/2017;Perú21;Asalto;Sin arma;;;;;La Victoria;0;0;
http://peru21.pe/actualidad/molina-detienen-empleada-robar-s70000-joyas-video-2280940;La Molina: Detienen a trabajadora del hogar por robar S/70,000 en joyas [VIDEO];9/05/2017;Perú21;Hurto;Sin Arma;;15-21;Mujer;Mujer;La Molina;0;0;Dueño
http://www.elpopular.pe/actualidad-y-policiales/2017-05-09-sicarios-asesinan-amigos-en-independencia;Sicarios asesinan a amigos en Independencia;9/05/2017;El Popular;Sicariato;Pistola;15-21 / 35-55;;Hombre (2);Hombre (2);Independencia;2;0;Comerciante
http://ojo.pe/policial/tres-marcas-iban-a-robar-a-cambistas-en-surco-pero-son-capturados-video-241552/;"Tres ""marcas"" iban a robar a cambistas en Surco, pero son capturados (VIDEO)";10/05/2017;Ojo;Marcaje;Pistola;;22-34 (2) / 35-55;;Hombre (3);Surco;0;0;Cambista
http://ojo.pe/policial/vmt-capturan-a-banda-juvenil-de-raqueteros-video-241812/;VMT: Capturaron a 'raqueteros' de la banda 'Los diablitos de Villa María' (VIDEO);10/05/2017;Ojo;Raqueteo;Arma blanca;;22-34 (3) / 15-21 (2);;Hombre (5);Villa María del Triunfo;0;0;
http://ojo.pe/policial/inseguridad-ciudadana-atrapan-a-banda-que-no-robaba-joyas-ni-autos-sino-241828/;Inseguridad ciudadana: atrapan a banda que no robaba joyas, ni autos sino…;16/05/2017;Ojo;Hurto;Sin Arma;35-55;15-21 / 22-34 (2) / 35-55;Mujer;Hombre (4);Puente Piedra;0;0;Comerciante
http://canaln.pe/actualidad/jesus-maria-asaltan-vivienda-y-roban-bienes-15-mil-soles-n275868;Jesús María: roban bienes por 15 mil soles tras asalto a vivienda;10/05/2017;CanalN;Hurto;Sin arma;;;Hombre;Varios (No especifíca);Jesús María;0;0;
http://rpp.pe/lima/policiales-crimenes/asaltan-por-quinta-vez-un-negocio-en-san-martin-de-porres-noticia-1049935;Asaltan por quinta vez un negocio en San Martín de Porres;11/05/2017;RPP;Asalto;Pistola;56-100;;Hombre;Hombre (2);San Martin de Porres;0;1;Dueño de negocio
http://www.elpopular.pe/actualidad-y-policiales/2017-05-11-pnp-captura-tres-marcas-frente-embajada-de-eeuu;PNP captura a tres marcas frente a embajada de EE.UU.;11/05/2017;El Popular;Marcaje;Pistola;;22-34 / 55-100;Hombre;Hombre (3);Surco;0;0;Cambista
http://ojo.pe/policial/los-olivos-asaltan-cabina-de-internet-en-los-olivos-241597/;Los Olivos: sujetos asaltaron cabina de Internet y es la quinta vez que ocurre lo mismo;11/05/2017;Ojo;Asalto;Pistola;56-100;;Hombre;Hombre (2);Los Olivos;0;0;Dueño de Cabinas
http://peru21.pe/actualidad/miraflores-asaltan-trabajadores-y-clientes-jugueria-gran-fruta-video-2281170;Miraflores: Asaltan a trabajadores y clientes de juguería 'La Gran Fruta' [VIDEO];11/05/2017;Perú21;Asalto;Pistola;;;Varios (No especifíca);Varios (No especifíca);Miraflores;0;0;
